Time,X(CH1),
Second,Volt,
-5.9200007e-01,-8.00014e-03,
-5.8800006e-01,7.99990e-03,
-5.8400005e-01,-8.00014e-03,
-5.8000004e-01,7.99990e-03,
-5.7600003e-01,-8.00014e-03,
-5.7200003e-01,1.59999e-02,
-5.6800002e-01,-8.00014e-03,
-5.6400001e-01,1.59999e-02,
-5.6000000e-01,-8.00014e-03,
-5.5599999e-01,1.59999e-02,
-5.5199999e-01,7.99990e-03,
-5.4799998e-01,-8.00014e-03,
-5.4399997e-01,7.99990e-03,
-5.3999996e-01,-8.00014e-03,
-5.3599995e-01,-8.00014e-03,
-5.3199995e-01,1.59999e-02,
-5.2799994e-01,-8.00014e-03,
-5.2399993e-01,1.59999e-02,
-5.1999992e-01,7.99990e-03,
-5.1599991e-01,-8.00014e-03,
-5.1199991e-01,-8.00014e-03,
-5.0799990e-01,1.59999e-02,
-5.0399989e-01,7.99990e-03,
-4.9999988e-01,-8.00014e-03,
-4.9599987e-01,7.99990e-03,
-4.9199986e-01,-8.00014e-03,
-4.8799986e-01,7.99990e-03,
-4.8399985e-01,-8.00014e-03,
-4.7999984e-01,7.99990e-03,
-4.7599983e-01,-8.00014e-03,
-4.7199982e-01,7.99990e-03,
-4.6799982e-01,-8.00014e-03,
-4.6399981e-01,-8.00014e-03,
-4.5999980e-01,1.59999e-02,
-4.5599979e-01,7.99990e-03,
-4.5199978e-01,-8.00014e-03,
-4.4799978e-01,7.99990e-03,
-4.4399977e-01,-8.00014e-03,
-4.3999976e-01,7.99990e-03,
-4.3599975e-01,-8.00014e-03,
-4.3199974e-01,-8.00014e-03,
-4.2799973e-01,1.59999e-02,
-4.2399973e-01,7.99990e-03,
-4.1999972e-01,-8.00014e-03,
-4.1599971e-01,-8.00014e-03,
-4.1199970e-01,7.99990e-03,
-4.0799969e-01,7.99990e-03,
-4.0399969e-01,-8.00014e-03,
-3.9999968e-01,7.99990e-03,
-3.9599967e-01,-8.00014e-03,
-3.9199966e-01,7.99990e-03,
-3.8799965e-01,-8.00014e-03,
-3.8399965e-01,7.99990e-03,
-3.7999964e-01,-1.60002e-02,
-3.7599963e-01,7.99990e-03,
-3.7199962e-01,-8.00014e-03,
-3.6799961e-01,-8.00014e-03,
-3.6399961e-01,1.59999e-02,
-3.5999960e-01,-8.00014e-03,
-3.5599959e-01,1.59999e-02,
-3.5199958e-01,-8.00014e-03,
-3.4799957e-01,7.99990e-03,
-3.4399956e-01,7.99990e-03,
-3.3999956e-01,-8.00014e-03,
-3.3599955e-01,-8.00014e-03,
-3.3199954e-01,1.59999e-02,
-3.2799953e-01,7.99990e-03,
-3.2399952e-01,-8.00014e-03,
-3.1999952e-01,7.99990e-03,
-3.1599951e-01,-8.00014e-03,
-3.1199950e-01,7.99990e-03,
-3.0799949e-01,-8.00014e-03,
-3.0399948e-01,-8.00014e-03,
-2.9999948e-01,7.99990e-03,
-2.9599947e-01,-8.00014e-03,
-2.9199946e-01,1.59999e-02,
-2.8799945e-01,-8.00014e-03,
-2.8399944e-01,7.99990e-03,
-2.7999943e-01,-8.00014e-03,
-2.7599943e-01,1.59999e-02,
-2.7199942e-01,-8.00014e-03,
-2.6799941e-01,1.59999e-02,
-2.6399940e-01,-8.00014e-03,
-2.5999939e-01,1.59999e-02,
-2.5599939e-01,7.99990e-03,
-2.5199938e-01,-8.00014e-03,
-2.4799938e-01,-8.00014e-03,
-2.4399939e-01,1.59999e-02,
-2.3999940e-01,1.59999e-02,
-2.3599941e-01,-8.00014e-03,
-2.3199941e-01,-8.00014e-03,
-2.2799942e-01,1.59999e-02,
-2.2399943e-01,7.99990e-03,
-2.1999943e-01,-8.00014e-03,
-2.1599944e-01,-8.00014e-03,
-2.1199945e-01,1.59999e-02,
-2.0799945e-01,1.59999e-02,
-2.0399946e-01,-8.00014e-03,
